Date,Opponent,Competition,Goals For,Goals Against,Possession ,Shots,Opp Shots,Passes Completed,Possession Minutes,Contested Possession,Opp Possession Minutes,"Competition Adjustment (1 = Playoffs, 2 = MLS Flex Event, 3 = Team Sucks)",Goal Differential,Win/Loss/Draw Adjustment,Total Possession,Passes per Minute (in Possession)
9/2/2023,U14 Valeo,MLS Next,6,0,70%,30,4,341,22,47,9,2,6,1,78,4.37
9/2/2023,U16 Valeo,MLS Next,2,2,55%,18,15,356,24,47,21,2,0,0.5,92,3.87
9/2/2023,U15 Valeo,MLS Next,1,1,58%,12,9,224,17,50,13,2,0,0.5,80,2.80
9/2/2023,U13 Valeo,MLS Next,1,1,60%,7,5,199,15,50,9,2,0,0.5,74,2.69
9/9/2023,U16 Rochester,MLS Next,0,0,73%,20,4,480,31,45,12,2,0,0.5,88,5.45
9/9/2023,U15 Rochester,MLS Next,2,0,62%,27,4,304,20,50,12,2,2,1,82,3.71
9/9/2023,U13 Rochester,MLS Next,2,0,66%,36,1,268,19,40,10,2,2,1,69,3.88
9/16/2023,U13 NE Revs,MLS Next,0,4,50%,6,17,183,13,43,14,1,-4,0,70,2.61
9/16/2023,U17 NE Revs,MLS Next,1,1,48%,16,10,184,13,70,14,1,0,0.5,97,1.90
9/16/2023,U15 NE Revs,MLS Next,2,0,52%,16,9,222,15,59,14,1,2,1,88,2.52
9/16/2023,U19 NE Revs,MLS Next,1,2,25%,4,14,135,9,60,26,1,-1,0,95,1.42
9/17/2023,U16 Gottschee,MLS Next,1,1,67%,6,21,295,23,58,11,2,0,0.5,92,3.21
9/16/2023,U14 NE Revs,MLS Next,1,1,54%,9,11,263,19,45,17,1,0,0.5,81,3.25
9/23/2023,U13 IFA,MLS Next,0,6,53%,14,17,218,14,49,11,2,-6,0,74,2.95
9/23/2023,U16 IFA,MLS Next,2,1,65%,19,12,371,27,51,15,2,1,1,93,3.99
9/23/2023,U17 IFA,MLS Next,4,3,60%,12,12,269,18,67,12,2,1,1,97,2.77
9/23/2023,U14 IFA,MLS Next,0,1,62%,8,10,279,21,50,13,2,-1,0,84,3.32
9/23/2023,U19 IFA,MLS Next,2,5,46%,9,14,168,12,56,13,2,-3,0,81,2.07
9/23/2023,U15 IFA,MLS Next,5,0,60%,23,10,257,19,51,13,2,5,1,83,3.10
9/30/2023,U13 Met Oval,MLS Next,5,0,53%,17,9,194,14,45,13,2,5,1,72,2.69
9/30/2023,U14 Met Oval,MLS Next,2,0,42%,18,6,193,14,47,20,2,2,1,81,2.38
